cod_area;longitude;latitude;pk_sensor;gs;p1_c;p1_w;p2_c;p2_w;p3;p4_c;p4_w;sws;ews;ID_rain_gauge
LIG;8.8583;44.5301;39565;0.2;6;3;12;6;1;96;48;5;9;4453010088583
LIG;8.9382;44.5403;20201;0.2;6;3;12;6;1;96;48;5;9;4454030089382
LIG;8.6939;44.5426;44529;0.2;6;3;12;6;1;96;48;5;9;4454260086939
LIG;9.4516;44.5472;50188;0.2;6;3;12;6;1;96;48;5;9;4454720094516
LIG;8.9542;44.5486;50062;0.2;6;3;12;6;1;96;48;5;9;4454860089542
LIG;8.9568;44.5506;39585;0.2;6;3;12;6;1;96;48;5;9;4455060089568
LIG;9.2842;44.5542;19946;0.2;6;3;12;6;1;96;48;5;9;4455420092842
LIG;9.0749;44.5703;50124;0.2;6;3;12;6;1;96;48;5;9;4457030090749
LIG;8.9489;44.5713;50128;0.2;6;3;12;6;1;96;48;5;9;4457130089489
LIG;8.6578;44.5723;50175;0.2;6;3;12;6;1;96;48;5;9;4457230086578
LIG;9.2831;44.5772;50177;0.2;6;3;12;6;1;96;48;5;9;4457720092831
LIG;9.2363;44.6047;50122;0.2;6;3;12;6;1;96;48;5;9;4460470092363
